ID,REGION,PEOPL,HHINC,AVG_EDU_LVL,AVG_AGE,CHLDRN_LT_20,OTHR_INCM_SRC,RSDNC,NUM_YEARS_US,NUM_IN_ARMY,TOTAL_NUM_JOBS_HHLD,OWNS_HOUSE
5,1,2,"$140,300",4,48,0,0,0,25,0,1,0
7,1,2,"$130,790",6,58,0,0,0,58,1,2,1
9,1,1,"$60,000",9,73,0,0,0,73,0,1,1
11,1,5,"$74,610",8,42,3,2,0,42,0,3,1
18,1,2,"$45,000",7,25,0,0,0,25,0,2,0
21,1,1,"$27,834",7,55,0,0,0,55,0,1,1
31,1,2,"$50,000",4,62,0,0,1,62,1,2,1
39,1,1,"$14,000",3,23,0,0,0,23,0,1,0
42,1,1,"$30,000",3,80,0,0,0,80,0,1,1
48,1,1,"$35,000",8,56,0,0,0,56,0,3,1
50,1,1,"$45,000",3,31,0,0,0,31,1,1,1
52,1,2,"$32,560",3,66,0,1,1,66,0,2,1
58,1,2,"$163,236",6,47,0,0,0,47,0,2,1
65,1,2,"$25,040",4,85,0,0,0,85,1,2,1
66,1,2,"$226,400",9,71,0,0,1,71,0,2,1
70,1,2,"$37,438",4,35,1,0,0,35,1,1,1
73,1,3,"$43,232",5,19,3,0,0,19,0,2,0
78,1,2,"$162,000",8,52,0,1,1,52,1,3,1
89,1,1,"$28,062",7,40,0,0,0,40,1,4,0
94,1,1,"$32,000",3,19,1,0,0,19,0,2,0
99,1,2,"$36,880",3,71,0,0,0,71,1,2,1
101,1,3,"$70,000",3,38,2,0,0,38,0,1,1
102,1,6,"$115,000",7,42,4,0,1,42,0,1,1
103,1,5,"$97,900",7,38,3,0,0,38,0,2,1
106,1,1,"$43,800",8,80,0,0,0,80,1,1,1
116,1,2,"$47,502",3,59,0,0,0,59,1,2,0
120,1,2,"$42,000",3,63,0,0,0,63,1,2,1
132,1,5,"$21,904",7,43,4,0,0,43,0,1,1
136,1,1,"$15,000",8,24,0,0,0,24,0,1,0
137,1,5,"$65,000",5,40,2,0,0,36,0,3,1
140,1,3,"$30,544",3,37,0,0,0,37,0,3,0
148,1,1,"$12,000",6,68,0,0,0,68,0,1,1
149,1,2,"$65,000",5,56,0,0,0,56,0,2,1
150,1,1,"$28,603",3,43,0,0,0,43,0,4,1
156,1,2,"$82,000",3,45,0,0,1,45,1,3,1
164,1,3,"$62,000",4,37,1,0,0,37,1,2,1
166,1,3,"$68,000",5,26,1,1,0,26,1,2,0
168,1,2,"$23,000",1,32,0,0,0,13,0,2,0
171,1,2,"$142,000",8,65,0,0,1,65,1,2,1
175,1,2,"$67,288",5,60,0,0,0,60,1,3,0
182,1,4,"$30,500",3,37,2,0,1,37,0,3,1
186,1,3,"$61,600",7,38,1,0,0,26,1,4,1
189,1,1,"$26,000",8,27,0,0,0,32,0,1,0
190,1,2,"$6,000",5,63,0,0,0,63,1,2,1
192,1,1,"$50,000",7,56,0,0,0,56,1,0,1
198,1,5,"$94,000",5,32,2,1,0,32,0,3,1
204,2,5,"$183,474",3,29,2,0,0,29,0,4,1
205,2,2,"$80,000",5,53,0,0,0,53,0,2,1
206,2,2,"$65,270",3,58,0,2,0,58,0,2,1
207,2,4,"$1,700",3,30,3,0,0,30,0,1,0
209,2,4,"$25,928",3,53,1,0,0,53,1,1,1
213,2,3,"$44,709",3,40,0,0,0,40,0,3,1
215,2,3,"$135,000",8,34,1,1,0,34,0,2,1
218,2,1,"$26,905",4,76,0,0,0,76,0,0,1
219,2,4,"$27,000",6,32,2,0,0,32,0,2,0
223,2,1,"$28,000",8,70,0,0,0,70,0,1,1
230,2,1,"$110,000",9,59,0,0,0,59,0,1,1
234,2,5,"$37,564",4,27,3,0,0,27,0,6,0
236,2,4,"$42,500",3,29,2,0,0,29,0,2,0
241,2,4,"$50,000",10,39,2,0,0,41,0,3,1
242,2,1,"$12,000",6,66,0,0,0,66,0,2,1
243,2,4,"$52,758",2,35,3,0,1,35,0,3,1
244,2,1,"$40,000",3,54,0,0,0,54,0,1,1
246,2,3,"$192,000",5,61,0,2,0,61,0,5,1
247,2,2,"$289,600",9,74,0,0,0,74,1,2,1
248,2,2,"$11,004",2,65,0,0,0,65,0,0,0
249,2,2,"$112,000",9,59,0,0,0,28,0,2,0
251,2,1,"$12,000",3,62,0,0,0,62,0,1,0
253,2,4,"$48,000",4,54,0,0,1,54,1,1,1
258,2,4,"$60,000",5,26,2,0,0,26,0,2,1
270,2,3,"$6,000",3,55,0,0,0,55,1,1,0
271,2,3,"$71,200",6,61,1,0,0,61,2,2,1
273,2,1,"$11,072",2,60,0,0,0,60,0,0,1
274,2,2,"$34,480",6,50,0,1,0,50,0,2,1
277,2,3,"$36,000",4,30,1,0,0,30,0,3,1
284,2,1,"$15,000",3,38,0,0,0,38,0,1,0
303,2,1,"$26,238",6,87,0,0,0,87,1,0,1
