LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,FORMATD,INFORMAT,INFORML,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT
PROJECT2,PROJECT2,,,ADULTS18,1,8,64,NUMBER OF PERSONS 18 AND OLDER IN HH,,0,0,,0,0,1,504,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,ADULTS19,1,8,65,NUMBER OF PERSONS 19 AND OLDER IN HH,,0,0,,0,0,1,512,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,ADULTS21,1,8,66,NUMBER OF PERSONS 21 AND OLDER IN HH,,0,0,,0,0,1,520,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,AGE,1,8,20,PERSON*S AGE,,0,0,,0,0,1,152,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,AGECAT,1,8,22,AGE CATEGORY RECODES,,0,0,,0,0,1,168,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,AGE_I,1,8,21,AGE IMPUTATION FLAG,,0,0,,0,0,1,160,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,BHP_I,1,8,200,BASIC HEALTH PLAN IMPUTATION FLAG,,0,0,,0,0,1,1592,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CENFAMID,1,8,8,FAMILY IDENTIFICATION NUMBER (CENSUS),,0,0,,0,0,1,56,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CFPOVCAT,1,8,188,FAMILY (CEN) INCOME AS % OF FPL-RECODES,,0,0,,0,0,1,1496,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CFPOVLEV,1,8,187,FAMILY (CEN) INCOME AS % OF FPL,,0,0,,0,0,1,1488,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CF_PNUM,1,8,9,PERSON NUMBER W/I CENSUS FAMILY,,0,0,,0,0,1,64,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
PROJECT2,PROJECT2,,,CHECK,1,8,135,JOB HELD LONGEST IN 1999 SAME LAST WK,,0,0,,0,0,1,1072,17967,V9,11JUL93:23:13:55,11JUL93:23:13:55,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,
